dataset,arm,backbone,h,seed,pinball,crps,cov80,cov_lo,cov_hi
etth2,fan,rlinear_q,96,4,0.154036,0.308072,0.733232,0.133985,0.867218
etth2,condnorm,rlinear_q,96,0,1.090677,2.181355,0.031173,0.807509,0.838682
etth2,condnorm,rlinear_q,96,1,1.089528,2.179056,0.028149,0.80892,0.837069
etth2,condnorm,rlinear_q,96,2,1.087089,2.174179,0.029964,0.808448,0.838412
etth2,condnorm,rlinear_q,96,3,1.08945,2.1789,0.026862,0.809766,0.836628
etth2,condnorm,rlinear_q,96,4,1.094801,2.189602,0.031672,0.807622,0.839294
etth2,raw,rlinear_q,336,0,0.186437,0.372873,0.6796,0.236322,0.915922
etth2,raw,rlinear_q,336,1,0.182448,0.364897,0.670031,0.22238,0.892411
etth2,raw,rlinear_q,336,2,0.184489,0.368977,0.754918,0.186264,0.941182
etth2,raw,rlinear_q,336,3,0.184472,0.368944,0.753508,0.188219,0.941727
etth2,raw,rlinear_q,336,4,0.180405,0.36081,0.772091,0.173642,0.945733
etth2,revin,rlinear_q,336,0,0.168238,0.336476,0.728446,0.137877,0.866323
etth2,revin,rlinear_q,336,1,0.167462,0.334924,0.724832,0.13912,0.863952
etth2,revin,rlinear_q,336,2,0.168317,0.336634,0.726924,0.137359,0.864283
etth2,revin,rlinear_q,336,3,0.167196,0.334393,0.720983,0.139627,0.86061
etth2,revin,rlinear_q,336,4,0.167074,0.334147,0.730274,0.137132,0.867406
etth2,san,rlinear_q,336,0,0.170843,0.341685,0.630179,0.174413,0.804592
etth2,san,rlinear_q,336,1,0.170952,0.341903,0.619996,0.180638,0.800634
etth2,san,rlinear_q,336,2,0.170257,0.340515,0.629872,0.175048,0.804921
