dataset,arm,h,seed,mse,mae,nmae
weather,revin_all,24,1,0.111898,0.167322,
weather,revin_all,24,2,0.10667,0.157421,
weather,revin_all,24,3,0.11232,0.166125,
weather,revin_all,24,4,0.107267,0.15827,
weather,linmix_raw,24,0,0.119145,0.198826,
weather,linmix_raw,24,1,0.11267,0.184014,
weather,linmix_raw,24,2,0.110261,0.172501,
weather,linmix_raw,24,3,0.110879,0.178229,
weather,linmix_raw,24,4,0.118669,0.196145,
weather,linmix_revin,24,0,0.11171,0.163475,
weather,linmix_revin,24,1,0.106431,0.153432,
weather,linmix_revin,24,2,0.104967,0.154212,
weather,linmix_revin,24,3,0.113841,0.168353,
weather,linmix_revin,24,4,0.107219,0.157907,
weather,linmix_condnorm,24,0,0.694139,0.508035,
weather,linmix_condnorm,24,1,0.729009,0.530834,
weather,linmix_condnorm,24,2,0.796139,0.539177,
weather,linmix_condnorm,24,3,0.812194,0.548542,
weather,linmix_condnorm,24,4,0.781123,0.54161,
weather,revin_all,96,0,0.178352,0.233773,
weather,revin_all,96,1,0.177092,0.234804,
weather,revin_all,96,2,0.173079,0.229283,
weather,revin_all,96,3,0.178091,0.235417,
weather,revin_all,96,4,0.173509,0.230785,
weather,linmix_raw,96,0,0.179588,0.250281,
weather,linmix_raw,96,1,0.177136,0.246068,
weather,linmix_raw,96,2,0.177165,0.24651,
weather,linmix_raw,96,3,0.180271,0.25247,
weather,linmix_raw,96,4,0.177939,0.246865,
weather,linmix_revin,96,0,0.177508,0.233497,
weather,linmix_revin,96,1,0.176817,0.234228,
weather,linmix_revin,96,2,0.172111,0.227342,
weather,linmix_revin,96,3,0.176044,0.232601,
weather,linmix_revin,96,4,0.173021,0.229745,
weather,linmix_condnorm,96,0,1.344963,0.731895,
weather,linmix_condnorm,96,1,1.281958,0.708556,
weather,linmix_condnorm,96,2,1.201249,0.68933,
weather,linmix_condnorm,96,3,1.375054,0.728855,
weather,linmix_condnorm,96,4,1.348471,0.723693,
weather,revin_all,336,0,0.264911,0.302383,
electricity,dynreg,336,0,0.225316,0.324204,
weather,revin_all,336,1,0.265387,0.303389,
weather,revin_all,336,2,0.262868,0.300736,
weather,revin_all,336,3,0.265996,0.304199,
weather,revin_all,336,4,0.263856,0.301383,
weather,linmix_raw,336,0,0.26424,0.31685,
weather,linmix_raw,336,1,0.262632,0.316836,
weather,linmix_raw,336,2,0.264212,0.31921,
weather,linmix_raw,336,3,0.265795,0.32223,
weather,linmix_raw,336,4,0.261552,0.315046,
weather,linmix_revin,336,0,0.263161,0.30009,
weather,linmix_revin,336,1,0.265114,0.30308,
weather,linmix_revin,336,2,0.261686,0.298961,
weather,linmix_revin,336,3,0.264466,0.302461,
weather,linmix_revin,336,4,0.263034,0.30014,
weather,linmix_condnorm,336,0,1.140566,0.670465,
weather,linmix_condnorm,336,1,1.138702,0.679942,
weather,linmix_condnorm,336,2,1.141655,0.67245,
weather,linmix_condnorm,336,3,1.132274,0.680025,
weather,linmix_condnorm,336,4,1.116313,0.676518,
electricity,revin_all,24,0,0.151155,0.27167,
electricity,revin_all,24,1,0.128441,0.244364,
electricity,revin_all,24,2,0.123944,0.238179,
electricity,revin_all,24,3,0.131167,0.248387,
