lam,seed,L,h,norm,mse,mae,epochs,r2_level,sigma_est2,th_level_term,wall_s
0.0,9,336,336,raw,0.480907,0.550154,7,0.0035,nan,3.642246,0.17
0.0,9,336,336,revin,0.415553,0.510501,6,0.0035,nan,0.025168,0.2
0.0,9,336,336,cn_oracle,0.402107,0.501195,5,0.0035,nan,0.0,0.11
0.0,9,336,336,cn_est,0.491882,0.556094,7,0.0035,3.560111,3.671199,0.11
0.1,0,96,24,raw,0.597136,0.615575,10,0.106,nan,1.464208,0.18
0.1,0,96,24,revin,0.593505,0.614713,11,0.106,nan,0.414317,0.33
0.1,0,96,24,cn_oracle,0.213,0.369723,7,0.106,nan,0.0,0.13
0.1,0,96,24,cn_est,0.236089,0.388098,15,0.106,1.118001,1.110402,0.28
0.1,0,96,96,raw,0.686748,0.661116,5,0.106,nan,1.467428,0.1
0.1,0,96,96,revin,0.677332,0.657726,6,0.106,nan,0.448486,0.18
0.1,0,96,96,cn_oracle,0.216788,0.3729,6,0.106,nan,0.0,0.12
0.1,0,96,96,cn_est,0.243373,0.394056,8,0.106,1.118001,1.109607,0.17
0.1,0,96,336,raw,0.724183,0.678559,8,0.106,nan,1.458315,0.13
0.1,0,96,336,revin,0.73259,0.682905,10,0.106,nan,0.486913,0.28
0.1,0,96,336,cn_oracle,0.218327,0.374131,9,0.106,nan,0.0,0.15
0.1,0,96,336,cn_est,0.255241,0.403512,12,0.106,1.118001,1.107263,0.2
0.1,0,336,24,raw,0.589725,0.611932,8,0.106,nan,1.464208,0.13
0.1,0,336,24,revin,0.587876,0.611253,8,0.106,nan,0.401291,0.22
0.1,0,336,24,cn_oracle,0.212221,0.368941,6,0.106,nan,0.0,0.14
0.1,0,336,24,cn_est,0.242906,0.393224,8,0.106,1.136839,1.110402,0.16
0.1,0,336,96,raw,0.671348,0.655049,5,0.106,nan,1.467428,0.1
0.1,0,336,96,revin,0.654644,0.64718,6,0.106,nan,0.415861,0.16
0.1,0,336,96,cn_oracle,0.215051,0.371721,7,0.106,nan,0.0,0.13
0.1,0,336,96,cn_est,0.25075,0.400181,6,0.106,1.136839,1.109607,0.1
0.1,0,336,336,raw,0.709876,0.672495,10,0.106,nan,1.458315,0.15
0.1,0,336,336,revin,0.698088,0.667067,7,0.106,nan,0.441553,0.19
0.1,0,336,336,cn_oracle,0.215943,0.373173,5,0.106,nan,0.0,0.08
0.1,0,336,336,cn_est,0.263898,0.410726,7,0.106,1.136839,1.107263,0.13
0.1,1,96,24,raw,0.523538,0.573728,11,0.1329,nan,0.576049,0.21
0.1,1,96,24,revin,0.529836,0.576887,13,0.1329,nan,0.391231,0.38
0.1,1,96,24,cn_oracle,0.17748,0.33538,6,0.1329,nan,0.0,0.12
0.1,1,96,24,cn_est,0.207642,0.362888,11,0.1329,0.263486,0.260277,0.23
0.1,1,96,96,raw,0.564123,0.597807,12,0.1329,nan,0.56779,0.2
0.1,1,96,96,revin,0.574034,0.603417,10,0.1329,nan,0.394302,0.26
0.1,1,96,96,cn_oracle,0.179022,0.337111,6,0.1329,nan,0.0,0.14
0.1,1,96,96,cn_est,0.216667,0.370879,7,0.1329,0.263486,0.256058,0.12
0.1,1,96,336,raw,0.620647,0.627483,12,0.1329,nan,0.554228,0.22
0.1,1,96,336,revin,0.639173,0.636056,9,0.1329,nan,0.451883,0.25
